time,actual_price_usd,predicted_price_usd
2020-12-31 00:00:00+00:00,29380.6937327878,28594.46382394508
2021-01-01 00:00:00+00:00,32022.6810578609,28594.46382394508
2021-01-02 00:00:00+00:00,33277.8353050848,27747.95965653069
2021-01-03 00:00:00+00:00,31802.1467136178,28347.82414138985
2021-01-04 00:00:00+00:00,34013.1741724138,28594.46382394508
2021-01-05 00:00:00+00:00,36643.2777223846,28594.46382394508
2021-01-06 00:00:00+00:00,39215.6511490356,28594.46382394508
2021-01-07 00:00:00+00:00,40775.4045634132,28594.46382394508
2021-01-08 00:00:00+00:00,40370.6823495032,28594.46382394508
2021-01-09 00:00:00+00:00,38329.3401665693,28238.08543188429
2021-01-10 00:00:00+00:00,35269.5137177089,27940.225480148463
2021-01-11 00:00:00+00:00,33712.4685452952,28577.146364160162
2021-01-12 00:00:00+00:00,37296.5475277615,28594.46382394508
2021-01-13 00:00:00+00:00,39045.518340152,28594.46382394508
2021-01-14 00:00:00+00:00,36710.3174248977,28577.146364160162
2021-01-15 00:00:00+00:00,36177.2610970193,28594.46382394508
2021-01-16 00:00:00+00:00,36069.939466803,28594.46382394508
2021-01-17 00:00:00+00:00,36594.2964018118,28582.48809619289
2021-01-18 00:00:00+00:00,36250.1461893629,27632.319341559316
2021-01-19 00:00:00+00:00,35515.480012858,28166.97556993222
2021-01-20 00:00:00+00:00,31022.9510280538,28329.517164673318
2021-01-21 00:00:00+00:00,32986.4357568673,28594.9521376026
2021-01-22 00:00:00+00:00,32036.2822723553,27753.190627624783
2021-01-23 00:00:00+00:00,32216.1042904734,28612.26959738752
2021-01-24 00:00:00+00:00,32419.7059462303,28275.1214967937
2021-01-25 00:00:00+00:00,32640.6391426067,28022.817630948
2021-01-26 00:00:00+00:00,30358.9347235535,28582.48809619289
2021-01-27 00:00:00+00:00,33511.287595149,28594.46382394508
2021-01-28 00:00:00+00:00,34166.1494259497,28612.26959738752
2021-01-29 00:00:00+00:00,34349.9170952659,28329.517164673318
2021-01-30 00:00:00+00:00,33157.8325745178,28594.46382394508
2021-01-31 00:00:00+00:00,33570.2718468732,28264.099596552922
2021-02-01 00:00:00+00:00,35596.1489094097,28025.156831632972
2021-02-02 00:00:00+00:00,37578.3732068966,27821.188764320286
2021-02-03 00:00:00+00:00,37129.2029376972,28594.46382394508
2021-02-04 00:00:00+00:00,38045.4136084161,28594.46382394508
2021-02-05 00:00:00+00:00,39341.727081239,28594.46382394508
2021-02-06 00:00:00+00:00,39003.0121817651,28594.46382394508
2021-02-07 00:00:00+00:00,46121.9340724722,28594.9521376026
2021-02-08 00:00:00+00:00,46548.1619912332,28395.435936067803
2021-02-09 00:00:00+00:00,45078.128350263,28594.46382394508
2021-02-10 00:00:00+00:00,47892.8409181765,28594.46382394508
2021-02-11 00:00:00+00:00,47525.2091431911,28594.46382394508
2021-02-12 00:00:00+00:00,47208.6250270602,28118.337192046783
2021-02-13 00:00:00+00:00,48829.8275096435,28594.46382394508
2021-02-14 00:00:00+00:00,48110.2417334892,28594.46382394508
2021-02-15 00:00:00+00:00,49140.3826578024,28271.422971211003
2021-02-16 00:00:00+00:00,52224.9391139684,28594.9521376026
2021-02-17 00:00:00+00:00,51650.0699485681,27916.989910326134
2021-02-18 00:00:00+00:00,55820.5044038574,28612.26959738752
2021-02-19 00:00:00+00:00,55861.8205670953,28612.26959738752
2021-02-20 00:00:00+00:00,57500.7161102864,28594.46382394508
2021-02-21 00:00:00+00:00,53952.1533386324,28594.46382394508
2021-02-22 00:00:00+00:00,48560.4890350672,28033.45509791936
2021-02-23 00:00:00+00:00,49567.3456890707,28325.95600998483
2021-02-24 00:00:00+00:00,47568.131170076,28126.46110007484
2021-02-25 00:00:00+00:00,46231.7675784921,28594.46382394508
2021-02-26 00:00:00+00:00,45834.5133611923,28594.46382394508
2021-02-27 00:00:00+00:00,45359.4641642314,28612.26959738752
2021-02-28 00:00:00+00:00,49634.4471092928,28594.46382394508
2021-03-01 00:00:00+00:00,48304.7054879018,27966.411855679737
2021-03-02 00:00:00+00:00,50690.4671835184,28270.804388494467
2021-03-03 00:00:00+00:00,48472.7954751607,28612.26959738752
2021-03-04 00:00:00+00:00,48800.8173594389,28594.46382394508
2021-03-05 00:00:00+00:00,48970.5244868498,28136.173983611945
2021-03-06 00:00:00+00:00,51086.4681794272,28594.46382394508
2021-03-07 00:00:00+00:00,52088.475131502,28413.241709510243
2021-03-08 00:00:00+00:00,54739.1352542373,28031.702258732916
2021-03-09 00:00:00+00:00,56116.040912332,28473.190380530694
2021-03-10 00:00:00+00:00,57847.2549357101,28346.83462445824
2021-03-11 00:00:00+00:00,57334.641534775,28594.46382394508
2021-03-12 00:00:00+00:00,61288.7941276447,28272.294300803067
2021-03-13 00:00:00+00:00,59905.6184704851,28594.46382394508
2021-03-14 00:00:00+00:00,56121.121924021,28582.48809619289
2021-03-15 00:00:00+00:00,56500.4460257159,28564.682322750446
2021-03-16 00:00:00+00:00,58683.0659824664,28594.46382394508
2021-03-17 00:00:00+00:00,57731.4798410871,28594.46382394508
2021-03-18 00:00:00+00:00,58168.1219222677,28612.26959738752
2021-03-19 00:00:00+00:00,58247.8847066043,28594.46382394508
2021-03-20 00:00:00+00:00,57447.9330198714,28594.46382394508
2021-03-21 00:00:00+00:00,54453.1373508475,28582.48809619289
2021-03-22 00:00:00+00:00,54563.6119458211,28289.577632379904
2021-03-23 00:00:00+00:00,52595.4113237873,28594.9521376026
2021-03-24 00:00:00+00:00,51547.1248953828,28594.46382394508
