asset,time,AdrActCnt,HashRate,PriceUSD,SplyCur,TxTfrCnt
btc,2013-01-01T00:00:00.000000000Z,38733,23.995203419462,13.3313714219755,10618089.91051183,73221
btc,2013-01-02T00:00:00.000000000Z,40911,22.6621365628253,13.2806068129749,10621914.90951183,83763
btc,2013-01-03T00:00:00.000000000Z,52539,23.995203419462,13.3840811484512,10625964.90701183,89550
btc,2013-01-04T00:00:00.000000000Z,46781,22.6621365628253,13.4517211496201,10629789.90351183,96831
btc,2013-01-05T00:00:00.000000000Z,53959,20.8847140873096,13.459406766803,10633314.90101183,86261
btc,2013-01-06T00:00:00.000000000Z,42382,21.4771882458148,13.5044965078901,10636939.90001183,74704
btc,2013-01-07T00:00:00.000000000Z,54059,24.8839146572199,13.5560616578025,10641139.89901183,85476
btc,2013-01-08T00:00:00.000000000Z,56753,20.6792393570174,13.7803506312098,10644464.89801183,82401
btc,2013-01-09T00:00:00.000000000Z,54910,20.9996781825623,13.8209552565751,10647714.89701183,88242
btc,2013-01-10T00:00:00.000000000Z,60507,23.7457899448973,14.12317285564,10651389.89451183,109394
btc,2013-01-11T00:00:00.000000000Z,61989,18.899710364306,14.2276211227352,10654314.89301183,107288
btc,2013-01-12T00:00:00.000000000Z,49915,19.7073902944046,14.2142856560491,10657364.89301183,94606
btc,2013-01-13T00:00:00.000000000Z,55725,21.4842861406214,14.1607882670953,10660689.89201183,101482
btc,2013-01-14T00:00:00.000000000Z,44616,25.3611498050944,14.3179703202805,10664614.89001183,88923
btc,2013-01-15T00:00:00.000000000Z,59643,19.5458543083849,14.3136377516072,10667639.88901183,100196
btc,2013-01-16T00:00:00.000000000Z,55537,21.161214168582,14.7078140479252,10670914.88651183,106046
btc,2013-01-17T00:00:00.000000000Z,59029,17.9304944481878,15.598599739626,10673689.88501183,101797
btc,2013-01-18T00:00:00.000000000Z,57683,19.5458543083849,15.7157911239042,10676714.88351183,103440
btc,2013-01-19T00:00:00.000000000Z,49445,24.8765418470353,15.5881263997662,10680564.88251183,106899
btc,2013-01-20T00:00:00.000000000Z,45027,20.9996781825623,15.7195921373466,10683814.88101183,83968
btc,2013-01-21T00:00:00.000000000Z,47104,21.3227501546017,16.7810195207481,10687114.87901183,81162
btc,2013-01-22T00:00:00.000000000Z,51489,23.2611819868382,17.3001788386908,10690714.87651183,87464
btc,2013-01-23T00:00:00.000000000Z,48584,19.8929412333321,17.5363954228521,10693864.87401183,100841
btc,2013-01-24T00:00:00.000000000Z,59644,23.0222650674502,16.90108607218,10697764.87201183,96343
btc,2013-01-25T00:00:00.000000000Z,51061,20.2182712451325,17.4072020292227,10701189.87001183,102295
btc,2013-01-26T00:00:00.000000000Z,55140,23.0222650674502,17.5536291760608,10705089.86701183,107612
btc,2013-01-27T00:00:00.000000000Z,48552,22.2843719563139,17.8646280148217,10708864.86451183,112952
btc,2013-01-28T00:00:00.000000000Z,54409,21.694057467405,18.7942648743425,10712539.86251183,115862
btc,2013-01-29T00:00:00.000000000Z,54460,23.3174223119047,19.5147141861484,10716489.86101183,109637
btc,2013-01-30T00:00:00.000000000Z,45601,22.5795292007684,19.7374466864407,10720314.85651183,86093
btc,2013-01-31T00:00:00.000000000Z,48166,28.4826740898582,20.5116430306838,10725139.85351183,108628
btc,2013-02-01T00:00:00.000000000Z,61865,21.694057467405,20.443091956166,10728814.85251183,120957
btc,2013-02-02T00:00:00.000000000Z,57947,22.5795292007684,19.6359017054354,10732639.85001183,112289
btc,2013-02-03T00:00:00.000000000Z,56035,27.4496237342675,20.5789396832262,10737289.84901183,124637
btc,2013-02-04T00:00:00.000000000Z,59362,24.2028940452681,20.4404879614261,10741389.84801183,115511
btc,2013-02-05T00:00:00.000000000Z,60191,25.9415063822749,20.6593447276446,10745564.84701183,109935
btc,2013-02-06T00:00:00.000000000Z,53114,23.7723372530301,21.2085655318527,10749214.84551183,87688
btc,2013-02-07T00:00:00.000000000Z,60065,25.0749310751139,22.1177651789246,10753064.84401183,124583
btc,2013-02-08T00:00:00.000000000Z,61292,24.5864583918325,22.7873650499299,10756839.84401183,117350
btc,2013-02-09T00:00:00.000000000Z,55866,23.2838645697486,23.7338601537113,10760414.84351183,115728
btc,2013-02-10T00:00:00.000000000Z,56414,26.2147006694373,23.9002893571011,10764439.84201183,114507
btc,2013-02-11T00:00:00.000000000Z,53214,25.8890522139163,24.4972726949153,10768414.84151183,117292
btc,2013-02-12T00:00:00.000000000Z,52230,22.6325676587067,24.9797364073641,10771889.83951183,115952
btc,2013-02-13T00:00:00.000000000Z,51607,27.8429429470421,24.6416509347867,10776164.83601183,117785
btc,2013-02-14T00:00:00.000000000Z,52507,24.5864583918325,27.2823898203039,10779939.83601183,102127
btc,2013-02-15T00:00:00.000000000Z,49480,29.1455367691259,27.1712692291058,10784414.83351183,110316
btc,2013-02-16T00:00:00.000000000Z,47477,30.7737790467307,27.3461635619521,10789139.83351183,110111
btc,2013-02-17T00:00:00.000000000Z,46362,30.6109548189702,26.9272513763881,10793839.82901183,107525
btc,2013-02-18T00:00:00.000000000Z,46855,29.2203363858104,26.9288676370544,10797864.82851183,106692
btc,2013-02-19T00:00:00.000000000Z,49090,28.857350840645,29.4136243807715,10801839.82551183,110164
btc,2013-02-20T00:00:00.000000000Z,50898,35.0281051084559,29.8198072276447,10806664.82401183,124108
btc,2013-02-21T00:00:00.000000000Z,51627,31.9427279745505,29.8180689158387,10811064.82251183,112312
btc,2013-02-22T00:00:00.000000000Z,54361,30.8537713390544,30.4726565324372,10815314.82251183,128430
btc,2013-02-23T00:00:00.000000000Z,51159,29.7648147035584,29.8064545458796,10819414.82201183,118186
btc,2013-02-24T00:00:00.000000000Z,52275,28.312872522897,29.8828484924021,10823314.82201183,116065
btc,2013-02-25T00:00:00.000000000Z,56529,37.0245256068653,30.3520330949737,10828414.82051183,134070
btc,2013-02-26T00:00:00.000000000Z,58302,30.1278002487237,31.1555373506721,10832564.81951183,129650
btc,2013-02-27T00:00:00.000000000Z,55511,35.0281051084559,31.2402610829924,10837389.81851183,126710
btc,2013-02-28T00:00:00.000000000Z,59466,30.4907857938891,33.3752939365868,10841589.81801183,131035
btc,2013-03-01T00:00:00.000000000Z,62746,29.2261354044535,34.6062570341204,10845389.81501183,135169
btc,2013-03-02T00:00:00.000000000Z,49881,31.4836025880449,34.143515924021,10849014.81451183,114668
btc,2013-03-03T00:00:00.000000000Z,44647,34.9576552874153,34.451740484512,10853039.81451183,112028
btc,2013-03-04T00:00:00.000000000Z,54208,38.8659645742071,36.3762652507306,10857514.81201183,129465
btc,2013-03-05T00:00:00.000000000Z,56444,30.1808328257809,40.6729539902747,10860989.81201183,114114
btc,2013-03-06T00:00:00.000000000Z,70524,33.6548855251514,43.2849961852133,10864864.81201183,126666
btc,2013-03-07T00:00:00.000000000Z,67349,34.7405269937047,41.9474407158387,10868864.81101183,136326
btc,2013-03-08T00:00:00.000000000Z,56370,34.7405269937047,43.902928914962,10872864.81101183,111619
btc,2013-03-09T00:00:00.000000000Z,53106,36.6946816371006,46.8885866123086,10877089.81101183,110724
btc,2013-03-10T00:00:00.000000000Z,56596,39.7344777490498,46.0660384590181,10881664.81101183,151826
btc,2013-03-11T00:00:00.000000000Z,53342,35.6090401685473,48.275074577218,10885764.81101183,123284
btc,2013-03-12T00:00:00.000000000Z,61248,29.3123196509383,44.4135452582116,10889139.81001183,113934
btc,2013-03-13T00:00:00.000000000Z,62068,34.0891421125727,47.0161908515809,10893064.80951183,123283
btc,2013-03-14T00:00:00.000000000Z,61917,41.6325127555959,46.9255625535453,10897539.80951183,132146
