date,portfolio_value,actions
2021-05-12,6880.159123243449,BUY 0.00 USD
2021-05-13,6654.584575663367,BUY 0.00 USD
2021-05-14,6555.522656542985,BUY 0.00 USD
2021-05-15,6586.914270042693,BUY 0.00 USD
2021-05-16,6367.889023362427,BUY 0.00 USD
2021-05-17,6317.285127962587,BUY 0.00 USD
2021-05-18,6335.8085031245755,BUY 0.00 USD
2021-05-19,6367.891798023696,BUY 0.00 USD
2021-05-20,6202.3599881287755,BUY 0.00 USD
2021-05-21,5978.069443923253,BUY 0.00 USD
2021-05-22,6450.62483091731,BUY 0.00 USD
2021-05-23,6488.241332633997,BUY 0.00 USD
2021-05-24,6715.709475356524,BUY 0.00 USD
2021-05-25,6861.777711919632,BUY 0.00 USD
2021-05-26,7053.174288010009,BUY 0.00 USD
2021-05-27,7520.07539029743,BUY 0.00 USD
2021-05-28,7857.824588723954,BUY 0.00 USD
2021-05-29,8021.03070436892,BUY 0.00 USD
2021-05-30,8050.546916024889,BUY 0.00 USD
2021-05-31,8392.663170842772,BUY 0.00 USD
2021-06-01,8393.395531412769,BUY 0.00 USD
2021-06-02,8027.010431360918,BUY 0.00 USD
2021-06-03,7893.501422422697,BUY 0.00 USD
2021-06-04,7689.585418658188,BUY 0.00 USD
2021-06-05,7987.836805546331,BUY 0.00 USD
2021-06-06,8222.355084707959,BUY 0.00 USD
2021-06-07,8593.632851250033,BUY 0.00 USD
2021-06-08,8933.949771154012,BUY 0.00 USD
2021-06-09,8831.003856165487,BUY 0.00 USD
2021-06-10,9291.5780498412,BUY 0.00 USD
2021-06-11,9135.562200513805,BUY 0.00 USD
2021-06-12,9173.225073324253,BUY 0.00 USD
2021-06-13,8918.053543262979,BUY 0.00 USD
2021-06-14,9583.153199354496,BUY 0.00 USD
2021-06-15,9464.004090952347,BUY 0.00 USD
2021-06-16,9453.99580286384,BUY 0.00 USD
2021-06-17,9235.160076265243,BUY 0.00 USD
2021-06-18,8979.979489533023,BUY 0.00 USD
2021-06-19,9028.232555695562,BUY 0.00 USD
2021-06-20,9368.138675723521,BUY 0.00 USD
2021-06-21,9889.08924571844,BUY 0.00 USD
